status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang;;;;
وتجنب المصافحة لأنها من أكثر أسباب انتقال العدوى. ;;;;
#كورونا_الجديد #كورونا ;;;;
#COVID19;;;;
#الوقاية_من_كورونا;;;;
#كورونا;;;;
#سلامتك_تهمنا;;;;
#السعوديه #مصر #الامارات #الخليج #الكويت #قطر #عمان #الاردن;;;;
#المسافرون_العرب;;;;
"#جورجيا https://t.co/QTk3da6leH"",TweetDeck,,,,FALSE,FALSE,231,0,,,,22684,9852,,2017-10-30T11:51:58Z,FALSE,ar";;;;
"1243689258600116224,409017590,2020-03-28T00:00:00Z,HiFilChronicle,""To cap off the month, Hawaii Filipino Chronicle has compiled all the news you need to know about the #COVID19 pandemic, how to protect yourself and your family, and many more in our latest issue. Log onto our website to learn more. https://t.co/zE3Wb1rtjO"",TweetDeck,,,,FALSE,FALSE,6,0,,,,45,172,,2011-11-10T05:24:59Z,FALSE,en";;;;
1243689258436767744,64643056,2020-03-28T00:00:00Z,RT_com,#COVID19 | #Rome like you've never seen before https://t.co/uFIK76L6zU,Twitter Media Studio,,,,FALSE,FALSE,943,52,,,,3073309,640,,2009-08-11T06:12:45Z,TRUE,en;;;;
"1243689258428141568,1633467242,2020-03-28T00:00:00Z,AytoCancun,""Manteniendo una #SanaDistancia colaboramos para evitar la propagación de enfermedades como el #Covid19. ¡Súmate! por tu salud, por la de todos.";;;;
#CancúnTodosUnidos;;;;
"#CancúnTierraDeTodos https://t.co/WN55kckina"",TweetDeck,,,,FALSE,FALSE,4675,5,,,,32444,2122,,2013-07-30T17:49:03Z,TRUE,es";;;;
1243689258415730698,1078373877800157184,2020-03-28T00:00:00Z,machaakill,En vrai je pense que le #COVID19 est bien plus grave que ce qu’on nous dit y’a moyen le virus sort d’un labo et qu’il ai été créer par l’homme,Twitter for iPhone,,,,FALSE,FALSE,4751,0,,,,503,195,,2018-12-27T19:35:42Z,FALSE,fr;;;;
1243689258411573249,27289822,2020-03-28T00:00:00Z,EvitaOchel,Another voice of reason in these chaotic and #fear filled times &gt  Who is the #coronavirus impacting and why https://t.co/yre25lIddo #COVID19 #Awareness #drugs #vaccine #flu,TweetDeck,,,,FALSE,FALSE,209,0,,,,2510,35,,2009-03-28T19:21:19Z,FALSE,en;;;;
"1243689258365452290,54280026,2020-03-28T00:00:00Z,MSF_brasil,""Se puder, #fiqueemcasa. Assim, você evita contrair e transmitir a #COVID19. Isso colabora para que o sistema de saúde não seja sobrecarregado com a chegada de muitos pacientes precisando de cuidados ao mesmo tempo. Todos temos um papel no combate a essa pandemia. https://t.co/wfXiEJROmA"",Twitter Media Studio,,,,FALSE,FALSE,1700,27,,,,370285,311,,2009-07-06T17:58:26Z,TRUE,pt";;;;
"1243689258365272065,2415822775,2020-03-28T00:00:00Z,RadioZP12Pilar,""Ministerio fortalece sistema de salud para atender demanda por #COVID19 ";;;;
;;;;
"https://t.co/K40k21pNjl https://t.co/43YkqLTMah"",TweetDeck,,,,FALSE,FALSE,1944,0,,,,6651,495,,2014-03-28T12:09:27Z,TRUE,es";;;;
"1243689258319298569,757469910,2020-03-28T00:00:00Z,pichinchauniver,""📰#Nacionales | Dos personas fallecieron a causa del #COVID19 este jueves 26 de marzo. La una en #Cuenca y la otra en la Península de #SantaElena. Los detalles ⬇  ";;;;
;;;;
"https://t.co/PPoXeMhn1q"",TweetDeck,,,,FALSE,FALSE,3171,6,,,,50224,500,,2012-08-14T16:41:36Z,FALSE,es";;;;
"1243689258252144640,69334913,2020-03-28T00:00:00Z,LuisCardenasMx,""""""La mayoría de los que se infecten no van a tener ningún problema, algunos ni lo van a notar. De cualquier forma se debe mantener la sana distancia social""""";;;;
;;;;
Lo que me dijo @doctormacias, Infectólogo y Excomisionado de Influenza sobre el #COVID19;;;;
;;;;
👇👇👇;;;;
;;;;
"https://t.co/kWdAnwFm6o"",TweetDeck,,,,FALSE,FALSE,7443,4,,,,144885,8086,,2009-08-27T16:30:05Z,TRUE,es";;;;
"1243689258239418369,817072420947247104,2020-03-28T00:00:00Z,Tu_IMSS_Coah,""Identifica los síntomas que despiertan sospecha ante el #COVID19 | #EnfermedadesRespiratorias ";;;;
#Coronavirus #PrevenciónCoronavirus;;;;
#SanaDistancia  #MéxicoUnido;;;;
"#QuédateEnCasa https://t.co/WkeeH2CZ8d"",TweetDeck,,,,FALSE,FALSE,1827,0,,,,1535,169,,2017-01-05T18:17:00Z,FALSE,es";;;;
